"Rank","Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","Overall"
"335","Lance Thomas","NYK","SG,SF,PF","-0.76","-0.55","-0.72","-0.45","-0.34","-0.30","0.20","-0.72","0.57","-3.06"
"336","Donte DiVincenzo","MIL","SG","-0.66","-0.56","-0.52","-0.45","-0.48","-0.38","0.06","-0.39","0.29","-3.09"
"337","Ian Clark","NOR","PG,SG","-0.58","-0.64","-0.36","-0.55","-0.71","-0.57","0.19","-0.26","0.38","-3.10"
"338","Cristiano Felicio","CHI","C,PF","-0.73","-0.36","-0.66","-0.66","-0.81","0.32","-0.06","-0.85","0.64","-3.16"
"339","MarShon Brooks","FA","SG,SF","-0.40","-0.64","-0.55","-0.55","-0.62","-0.09","-0.23","-0.45","0.36","-3.17"
"340","Quincy Pondexter","SAS","SG,SF","-0.77","-0.71","-0.66","-0.71","-0.67","0.09","0.03","-0.69","0.89","-3.20"
"341","Elfrid Payton","NOR","PG","-0.41","-0.46","0.51","-0.50","-0.01","-0.19","-0.07","-0.50","-1.58","-3.22"
"342","Frank Mason","SAC","PG","-0.54","-0.71","0.13","-0.50","-0.29","-0.43","-0.42","-0.61","0.14","-3.22"
"343","Michael Beasley","LAL","SF,PF","-0.46","-0.60","-0.58","-0.24","-0.62","0.43","-0.28","-0.77","-0.12","-3.24"
"344","Bradley Wanamaker","BOS","G","-0.76","-0.83","-0.45","-0.71","-0.67","-0.11","0.23","-0.48","0.52","-3.25"
"345","Dwayne Bacon","CHA","SG","-0.67","-0.72","-0.64","-0.76","-0.90","0.30","0.08","-0.53","0.60","-3.25"
"346","Glenn Robinson III","DET","SG,SF","-0.61","-0.70","-0.69","-0.50","-0.53","-0.53","0.23","-0.56","0.62","-3.26"
"347","Kenneth Faried","HOU","PF,C","-0.57","-0.27","-0.75","-0.19","-0.67","0.61","-0.93","-0.80","0.31","-3.26"
"348","Semi Ojeleye","BOS","SF,PF","-0.62","-0.54","-0.71","-0.66","-0.76","-0.25","-0.18","-0.37","0.82","-3.27"
"349","Jarell Martin","ORL","PF,C","-0.76","-0.64","-0.69","-0.40","-0.95","-0.14","0.09","-0.58","0.79","-3.28"
"350","John Henson","CLE","PF,C","-0.76","-0.44","-0.68","-0.19","-0.71","0.01","-0.17","-0.56","0.20","-3.29"
"351","Frank Kaminsky","CHA","PF,C","-0.60","-0.55","-0.55","-0.50","-0.81","0.17","-0.33","-0.48","0.29","-3.35"
"352","Raul Neto","UTH","PG","-0.71","-0.77","-0.39","-0.76","-0.67","0.20","0.23","-0.61","0.10","-3.37"
"353","Damion Lee","GSW","SG","-0.74","-0.74","-0.82","-0.76","-0.67","0.05","0.11","-0.48","0.66","-3.38"
"354","TJ Leaf","IND","PF","-0.74","-0.60","-0.71","-0.50","-0.86","0.18","-0.32","-0.77","0.92","-3.40"
"355","David Nwaba","CLE","SG,SF","-0.61","-0.54","-0.67","-0.40","-0.43","-0.21","-0.63","-0.61","0.71","-3.40"
"356","Caris LeVert","BKN","SF,SG","-0.19","-0.53","-0.21","-0.50","-0.25","0.14","-0.27","-0.34","-1.31","-3.45"
"357","Channing Frye","CLE","PF,C","-0.72","-0.67","-0.66","-0.55","-0.81","-0.53","-0.02","-0.26","0.76","-3.46"
"358","Rajon Rondo","LAL","PG","-0.54","-0.38","0.73","-0.66","-0.29","-0.10","-0.20","-0.48","-1.56","-3.48"
"359","Shake Milton","PHI","G","-0.85","-0.87","-0.72","-0.61","-0.86","-0.05","0.02","-0.58","1.02","-3.50"
"360","Guerschon Yabusele","BOS","SF,PF","-0.84","-0.76","-0.72","-0.40","-0.71","-0.09","-0.02","-0.74","0.78","-3.51"
"361","Justin Anderson","ATL","SF,SG","-0.76","-0.68","-0.72","-0.40","-0.53","-0.32","-0.08","-0.64","0.60","-3.51"
"362","Isaiah Hartenstein","HOU","PF","-0.86","-0.69","-0.71","-0.29","-0.86","0.02","0.03","-0.80","0.60","-3.54"
"363","Alex Poythress","ATL","SF,PF","-0.73","-0.54","-0.69","-0.34","-0.90","0.27","-0.52","-0.66","0.56","-3.55"
"364","Luol Deng","MIN","SF,PF","-0.82","-0.77","-0.79","-0.66","-0.71","0.14","0.08","-0.72","0.68","-3.58"
"365","Troy Brown","WAS","SF","-0.79","-0.73","-0.56","-0.71","-0.67","-0.19","-0.21","-0.74","0.95","-3.65"
"366","Ben McLemore","SAC","SG","-0.77","-0.86","-0.80","-0.61","-0.76","-0.24","-0.12","-0.39","0.90","-3.65"
