"Rank","Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","Overall"
"1","James Harden","HOU","PG,SG","4.43","1.42","3.84","1.03","3.55","-1.35","5.94","5.30","-5.28","18.89"
"2","Kevin Durant","GSW","SF,PF","3.40","1.79","2.80","2.29","0.88","2.27","5.21","1.69","-2.65","17.68"
"3","Anthony Davis","NOR","PF,C","2.82","3.22","1.35","4.77","2.24","2.18","1.82","0.22","-1.17","17.45"
"4","Karl-Anthony Towns","MIN","C","2.62","3.70","1.08","4.24","1.26","1.75","2.31","1.53","-2.16","16.32"
"5","Paul George","OKC","SG,SF","3.26","2.04","1.57","0.50","4.35","-0.53","2.08","3.80","-1.84","15.23"
"6","Damian Lillard","POR","PG","3.17","0.75","2.93","0.55","1.44","-0.66","4.88","2.95","-2.06","13.95"
"7","Nikola Jokic","DEN","PF,C","2.07","2.84","3.65","0.92","2.10","1.73","1.85","0.65","-2.47","13.34"
"8","Nikola Vucevic","ORL","PF,C","2.29","3.65","1.48","2.29","1.26","2.68","0.15","0.70","-1.19","13.32"
"9","Stephen Curry","GSW","PG,SG","2.63","0.55","1.73","0.03","1.16","1.45","3.21","4.58","-2.11","13.23"
"10","Joel Embiid","PHI","PF,C","3.07","3.82","1.22","4.03","0.18","1.37","1.76","0.68","-2.95","13.17"
"11","Giannis Antetokounmpo","MIL","SF,PF","2.88","3.49","2.50","2.71","2.01","4.72","-2.55","-0.26","-3.37","12.12"
"12","Tobias Harris","LAC","SF,PF","2.44","2.13","0.78","0.45","0.79","1.85","2.53","1.93","-1.05","11.83"
"13","LaMarcus Aldridge","SAS","PF,C","2.49","2.52","0.82","2.61","0.27","2.51","2.26","-0.74","-1.01","11.72"
"14","Rudy Gobert","UTH","C","1.43","4.06","0.55","5.03","1.21","4.40","-3.52","-0.85","-0.61","11.70"
"15","Kyrie Irving","BOS","PG,SG","2.23","0.60","2.82","0.29","2.43","1.60","1.33","2.17","-1.97","11.51"
"16","Jrue Holiday","NOR","PG,SG","2.43","0.94","4.21","1.55","2.90","0.83","-0.25","1.42","-2.67","11.36"
"17","Bradley Beal","WAS","SG","2.93","0.95","2.27","1.34","2.24","0.34","0.61","2.60","-2.04","11.25"
"18","Kawhi Leonard","TOR","SG,SF","2.37","1.33","0.63","0.24","2.33","1.69","2.83","1.02","-1.24","11.21"
"19","Kemba Walker","CHA","PG","2.81","0.64","2.53","0.60","1.77","-1.43","1.36","3.30","-1.82","9.77"
"20","Mike Conley","MEM","PG","2.19","0.29","3.00","0.13","2.15","-1.24","2.07","2.01","-1.05","9.54"
"21","DeAndre Ayton","PHO","C,PF","1.45","2.84","0.31","1.66","0.69","4.06","0.05","-0.85","-0.87","9.33"
"22","Jusuf Nurkic","POR","C","1.45","3.11","1.15","3.45","1.49","1.26","-0.30","-0.77","-1.54","9.30"
"23","Pascal Siakam","TOR","PF","1.45","1.77","0.95","0.97","1.30","2.85","0.59","0.11","-0.84","9.17"
"24","Marc Gasol","MEM","C","1.49","2.36","2.02","2.55","1.72","-0.55","-0.15","1.13","-1.52","9.05"
"25","Klay Thompson","GSW","SG,SF","2.45","0.56","0.40","0.92","1.68","0.10","0.45","2.98","-0.63","8.91"
"26","Brook Lopez","MIL","C","0.89","0.54","-0.23","4.66","-0.01","-0.08","0.24","2.49","0.06","8.57"
"27","Clint Capela","HOU","PF,C","1.35","3.08","-0.09","3.29","0.13","4.55","-2.45","-0.85","-0.61","8.40"
"28","Jimmy Butler","PHI","SG,SF","1.43","0.49","0.93","0.55","2.80","0.56","1.69","0.49","-0.54","8.40"
"29","Buddy Hield","SAC","SG","2.22","0.91","0.56","0.13","0.13","0.69","0.98","3.67","-0.93","8.36"
"30","Danilo Gallinari","LAC","SF,PF","1.66","1.03","0.50","-0.13","0.46","-0.29","3.52","2.01","-0.42","8.33"
"31","Myles Turner","IND","PF,C","0.80","1.48","0.06","5.66","0.18","1.03","-0.71","0.14","-0.53","8.11"
"32","Eric Bledsoe","MIL","PG,SG","1.46","0.71","2.44","0.29","2.24","1.03","0.05","1.05","-1.26","8.01"
"33","Blake Griffin","DET","PF,C","2.93","1.94","2.22","0.34","0.74","0.93","-0.16","2.23","-3.25","7.92"
"34","D'Angelo Russell","BKN","PG,SG","2.16","0.49","3.16","-0.03","1.77","-0.94","0.46","2.84","-2.14","7.78"
"35","Jayson Tatum","BOS","SF,PF","1.57","1.39","0.27","1.34","1.35","-0.41","1.41","1.34","-0.60","7.65"
"36","DeMar DeRozan","SAS","SG,SF","2.28","1.30","2.86","0.50","1.30","0.29","1.66","-0.66","-1.98","7.55"
"37","Jaren Jackson Jr.","MEM","PF","1.18","0.85","-0.13","3.24","1.16","1.41","0.25","0.19","-0.66","7.49"
"38","Serge Ibaka","TOR","PF,C","1.46","1.82","-0.03","2.61","0.04","2.24","0.20","0.03","-0.90","7.46"
"39","Jarrett Allen","BKN","PF,C","0.77","2.40","0.03","3.24","0.32","2.21","-0.41","-0.74","-0.44","7.38"
"40","Malcolm Brogdon","MIL","PG,SG","1.25","0.60","0.99","-0.19","0.50","1.59","2.06","0.94","-0.67","7.08"
"41","Jerami Grant","OKC","SF,PF","1.06","0.92","-0.25","2.92","1.07","1.44","-0.98","0.62","0.22","7.03"
"42","DeAndre Jordan","DAL","C","0.73","4.23","0.35","2.03","0.50","3.08","-1.67","-0.85","-1.43","6.97"
"43","Montrezl Harrell","LAC","PF,C","1.55","1.65","0.20","2.82","1.16","4.45","-3.60","-0.82","-0.47","6.94"
"44","CJ McCollum","POR","PG,SG","2.31","0.51","0.84","0.08","0.83","-0.09","0.94","1.99","-0.63","6.78"
"45","JJ Redick","PHI","SG","1.86","-0.16","0.81","-0.24","-0.11","-0.52","2.26","3.14","-0.37","6.67"
"46","Domantas Sabonis","IND","PF,C","1.19","2.43","0.77","0.39","0.41","3.56","-0.22","-0.66","-1.34","6.52"
"47","De'Aaron Fox","SAC","PG","1.74","0.41","3.48","0.55","2.94","0.12","-0.95","0.59","-2.37","6.52"
"48","Kyle Lowry","TOR","PG","0.85","0.42","3.88","0.39","1.68","-1.24","1.06","1.53","-2.06","6.51"
"49","Al Horford","BOS","PF,C","0.58","1.07","0.93","2.45","0.41","1.38","0.06","0.38","-0.76","6.50"
"50","Ben Simmons","PHI","PG,SF","1.65","2.68","4.16","1.29","1.96","3.45","-5.14","-0.85","-2.84","6.35"
"51","TJ Warren","PHO","SF","1.45","0.34","-0.07","0.76","1.35","0.85","0.63","1.21","-0.21","6.32"
"52","Julius Randle","NOR","PF,C","1.97","2.40","0.86","0.71","0.27","2.81","-0.82","-0.10","-1.82","6.28"
"53","Zach LaVine","CHI","PG,SG","2.28","0.53","1.46","0.13","1.02","-0.33","2.65","1.24","-2.87","6.11"
"54","Khris Middleton","MIL","SG,SF","1.59","1.09","1.56","-0.55","1.35","-0.87","1.23","2.12","-1.42","6.10"
"55","Danny Green","TOR","SG,SF","0.61","0.64","-0.04","1.39","1.11","-0.32","0.32","2.31","0.06","6.09"
"56","Josh Richardson","MIA","PG,SG,SF","1.55","0.34","1.34","0.34","1.40","-1.98","1.60","2.17","-0.79","5.97"
"57","JaVale McGee","LAL","C","0.51","1.38","-0.44","4.19","0.27","2.50","-1.09","-0.82","-0.56","5.94"
"58","Steven Adams","OKC","C","1.34","2.72","0.18","1.24","2.29","4.14","-4.41","-0.85","-0.73","5.92"
"59","Darren Collison","IND","PG,SG","0.54","0.08","2.64","-0.34","2.38","-0.01","0.56","0.46","-0.57","5.75"
"60","Al-Farouq Aminu","POR","SF,PF","0.56","2.22","-0.09","0.29","1.21","-0.52","0.80","0.97","0.29","5.72"
"61","Rudy Gay","SAS","SF,PF","0.89","1.11","0.45","0.60","0.69","1.44","0.89","0.27","-0.64","5.71"
"62","Marcus Morris","BOS","SF,PF","1.14","1.16","-0.05","0.08","0.27","0.42","1.12","1.80","-0.32","5.60"
"63","Donovan Mitchell","UTH","PG,SG","2.36","0.39","1.43","0.18","2.43","-1.73","0.56","1.99","-2.02","5.59"
"64","Thaddeus Young","IND","SF,PF","0.97","1.34","0.24","0.50","2.47","2.01","-1.51","-0.21","-0.25","5.56"
"65","Nemanja Bjelica","SAC","PF,SF","0.55","1.22","0.36","1.39","0.69","0.47","-0.02","1.05","-0.23","5.49"
"66","Justin Holiday","MEM","SG,SF","0.67","0.61","0.41","0.60","2.80","-2.27","0.85","2.07","-0.29","5.46"
"67","Mikal Bridges","PHO","SF","0.31","0.24","0.20","0.76","2.57","-0.49","0.38","1.02","0.39","5.39"
"68","Robert Covington","MIN","SF,PF","0.47","0.50","-0.29","1.71","2.43","-0.56","-0.00","1.42","-0.37","5.32"
"69","Derrick Favors","UTH","PF,C","0.74","1.79","-0.23","2.50","0.65","2.25","-1.86","-0.48","-0.06","5.30"
"70","Bojan Bogdanovic","IND","SG,SF","1.50","0.55","0.18","-0.76","0.88","0.82","1.05","1.66","-0.59","5.29"
"71","Jeremy Lamb","CHA","SG,SF","1.22","0.99","0.30","-0.08","1.02","-0.48","1.37","0.84","0.06","5.23"
"72","Luka Doncic","DAL","PG,SG","2.12","1.56","2.34","-0.03","1.54","-1.04","-0.93","2.20","-2.57","5.21"
"73","Marcus Smart","BOS","PG,SG","0.27","0.07","1.56","0.24","3.04","-0.89","0.18","1.13","-0.45","5.15"
"74","Devin Booker","PHO","PG,SG","2.16","0.13","2.43","-0.40","0.69","0.03","2.14","1.40","-3.47","5.10"
"75","Jamal Murray","DEN","PG,SG","1.76","0.59","1.94","0.18","0.69","-1.12","1.06","1.58","-1.60","5.09"
"76","Nicolas Batum","CHA","SG,SF","0.44","0.96","1.18","0.55","1.02","0.03","0.59","1.02","-0.71","5.08"
"77","Aaron Gordon","ORL","SF,PF","1.38","1.79","1.15","0.92","0.55","-0.26","-0.55","1.10","-1.04","5.03"
"78","Lou Williams","LAC","PG,SG","1.67","0.05","2.04","-0.45","0.32","-1.60","3.85","0.73","-1.62","4.99"
"79","Terrence Ross","ORL","SG,SF","1.26","0.31","0.16","0.29","1.11","-0.97","0.51","2.31","-0.04","4.94"
"80","Spencer Dinwiddie","BKN","PG","1.68","-0.06","2.17","-0.19","0.27","0.05","0.78","1.72","-1.50","4.92"
"81","Kelly Oubre Jr.","PHO","SF","1.21","0.74","-0.20","1.61","1.16","-0.87","0.37","1.24","-0.34","4.91"
"82","Andre Drummond","DET","PF,C","1.42","4.29","-0.16","3.24","2.38","1.31","-5.25","-0.74","-1.63","4.85"
"83","Joe Ingles","UTH","SG,SF","0.88","0.52","2.25","-0.19","2.38","-0.84","-0.61","1.88","-1.42","4.84"
"84","LeBron James","LAL","SF,PF","1.95","1.19","2.13","0.50","1.02","2.04","-2.22","0.97","-2.81","4.77"
"85","Joe Harris","BKN","SG,SF","1.03","0.42","0.62","-0.34","0.18","0.72","0.58","2.15","-0.63","4.72"
"86","Jeff Green","WAS","SF,PF","0.80","0.69","0.18","0.34","0.18","0.39","1.39","1.00","-0.26","4.70"
"87","Trevor Ariza","WAS","SG,SF","0.77","1.05","1.27","-0.19","2.19","-2.11","0.59","1.83","-0.71","4.70"
"88","PJ Tucker","HOU","SF","0.29","1.40","-0.09","0.39","2.47","-0.96","-0.66","1.64","0.15","4.64"
"89","Taj Gibson","MIN","PF,C","0.65","1.59","-0.09","0.71","0.69","2.08","-0.37","-0.56","-0.06","4.63"
"90","Richaun Holmes","PHO","PF,C","0.22","0.66","-0.36","2.24","0.32","2.56","-0.46","-0.85","0.28","4.60"
"91","Willie Cauley-Stein","SAC","PF,C","1.09","2.39","0.78","0.87","1.87","2.09","-3.45","-0.82","-0.23","4.59"
"92","Enes Kanter","NYK","C","0.91","2.50","0.16","0.13","-0.20","1.96","0.71","-0.66","-0.92","4.58"
"93","Kyle Kuzma","LAL","SF,PF","1.85","1.16","0.57","0.18","0.36","0.23","-0.04","1.50","-1.24","4.57"
"94","Marvin Williams","CHA","SF,PF","0.53","1.09","-0.12","1.08","0.97","-1.00","-0.24","1.72","0.52","4.57"
"95","D.J. Augustin","ORL","PG","0.84","-0.17","2.05","-0.76","0.22","0.01","1.45","1.45","-0.60","4.49"
"96","Jordan Clarkson","CLE","PG,SG","1.72","0.31","0.61","-0.29","0.65","-0.12","0.74","1.64","-0.77","4.47"
"97","Noah Vonleh","NYK","PF","0.37","2.27","0.35","1.61","0.69","0.06","-0.72","0.22","-0.40","4.45"
"98","Larry Nance Jr.","CLE","PF,C","0.15","1.43","0.71","0.71","1.72","0.94","-0.41","-0.50","-0.30","4.45"
"99","Dewayne Dedmon","ATL","C","0.27","1.24","-0.18","1.34","0.83","0.38","0.65","0.35","-0.45","4.44"
"100","Nerlens Noel","OKC","PF,C","-0.26","0.61","-0.55","2.66","1.16","1.16","-0.17","-0.85","0.49","4.26"
"101","Otto Porter Jr.","WAS","SF,PF","0.53","0.65","0.06","0.29","1.63","0.02","0.12","0.81","0.03","4.15"
"102","Bryn Forbes","SAS","PG,SG","1.01","0.15","0.57","-0.66","0.46","-0.11","0.59","2.20","-0.15","4.06"
"103","Wendell Carter Jr.","CHI","C","0.44","1.38","0.11","2.29","0.18","0.52","0.35","-0.69","-0.56","4.02"
"104","Russell Westbrook","OKC","PG","1.89","2.53","4.73","-0.03","3.46","-1.95","-3.00","0.46","-4.09","4.01"
"105","Kevon Looney","GSW","PF,C,SF","0.08","1.30","0.31","1.45","0.22","2.05","-1.00","-0.82","0.41","4.00"
"106","Tim Hardaway Jr.","NYK","SG,SF","1.78","0.22","0.61","-0.45","0.88","-2.60","2.11","2.25","-0.88","3.92"
"107","Davis Bertans","SAS","PF,C","0.20","0.22","-0.18","0.39","0.13","0.55","0.26","1.75","0.49","3.82"
"108","Monte Morris","DEN","PG","0.56","-0.08","1.36","-0.66","1.02","0.41","0.12","0.68","0.42","3.82"
"109","Derrick Rose","MIN","PG","1.24","-0.17","1.36","-0.24","0.04","0.61","1.12","0.57","-0.74","3.79"
"110","Bam Adebayo","MIA","PF,C","0.22","1.49","0.35","1.34","0.69","1.30","-0.40","-0.82","-0.41","3.76"
"111","Thomas Bryant","WAS","C","0.17","0.79","-0.32","0.76","-0.34","2.33","0.36","-0.48","0.36","3.63"
"112","Tomas Satoransky","WAS","PG,SG","0.24","0.14","1.57","-0.34","1.35","0.44","0.31","0.14","-0.23","3.62"
"113","Nikola Mirotic","NOR","SF,PF","0.69","1.05","-0.42","0.55","-0.06","-0.28","0.79","1.42","-0.15","3.60"
"114","Malik Beasley","DEN","PG,SG","0.63","-0.03","-0.12","-0.45","0.41","0.60","0.41","1.58","0.54","3.59"
"115","Shai Gilgeous-Alexander","LAC","PG","0.60","0.05","0.98","0.71","1.40","0.15","0.76","-0.18","-0.89","3.57"
"116","Paul Millsap","DEN","PF,C","0.60","1.11","0.06","0.97","1.35","0.47","-0.65","-0.10","-0.37","3.43"
"117","Reggie Jackson","DET","PG,SG","1.23","0.07","1.67","-0.45","0.50","-1.86","1.42","1.69","-0.86","3.42"
"118","Patty Mills","SAS","PG","0.57","-0.03","1.08","-0.29","0.65","-0.65","0.60","1.66","-0.17","3.42"
"119","Kentavious Caldwell-Pope","LAL","SG,SF","0.67","0.09","-0.13","-0.50","1.02","-0.71","1.25","1.32","0.38","3.39"
"120","Josh Hart","LAL","SG,SF","0.45","0.58","0.09","0.97","1.54","-0.99","-0.62","1.32","0.03","3.37"
"121","John Collins","ATL","PF,C","1.04","1.56","0.07","-0.19","-0.57","3.14","-0.44","0.01","-1.25","3.35"
"122","Kyle Anderson","MEM","SG,SF,PF","0.05","0.89","0.71","1.13","1.49","1.15","-1.19","-0.61","-0.33","3.30"
"123","Harrison Barnes","DAL","SF,PF","1.52","0.46","-0.20","-0.24","0.50","-1.92","1.25","2.17","-0.33","3.22"
"124","Marco Belinelli","SAS","SG,SF","0.75","-0.10","0.36","-0.34","0.08","-0.92","1.35","1.83","0.17","3.18"
"125","Fred VanVleet","TOR","PG","0.53","-0.03","1.73","-0.19","0.79","-1.31","0.57","1.18","-0.25","3.01"
"126","Evan Fournier","ORL","SG,SF","1.36","0.17","1.29","-0.34","1.02","-1.12","0.08","1.72","-1.17","3.01"
"127","Patrick Beverley","LAC","PG,SG","0.13","0.78","1.36","0.55","0.69","-1.34","-0.03","0.86","-0.04","2.97"
"128","Gordon Hayward","BOS","SG,SF","0.52","0.61","1.04","-0.13","0.97","-0.94","0.89","0.54","-0.54","2.95"
"129","Jonathan Isaac","ORL","PF,SF","0.16","0.75","-0.28","1.82","0.60","-0.83","0.62","0.06","0.03","2.93"
"130","Derrick White","SAS","PG","0.27","0.14","1.04","0.34","1.02","0.72","0.04","-0.10","-0.57","2.90"
"131","Rodney Hood","CLE","SG,SF","0.72","-0.15","0.27","-0.50","0.69","-0.69","1.72","0.59","0.25","2.90"
"132","Lonzo Ball","LAL","PG","0.47","0.94","2.28","0.24","2.19","-1.32","-1.70","1.16","-1.37","2.89"
"133","Draymond Green","GSW","PF,C","-0.22","1.15","2.29","0.97","1.54","-0.52","-0.20","-0.26","-1.88","2.88"
"134","Dennis Schroder","OKC","PG","1.39","0.31","1.77","-0.34","1.02","-1.63","0.94","1.02","-1.60","2.88"
"135","Ricky Rubio","UTH","PG","0.79","0.19","2.42","-0.29","1.63","-1.42","1.04","0.76","-2.24","2.87"
"136","Ryan Arcidiacono","CHI","PG,SG","-0.05","-0.13","1.27","-0.61","1.26","-0.51","0.62","0.76","0.25","2.85"
"137","Andre Iguodala","GSW","SG,SF","-0.19","0.34","0.91","1.18","0.79","0.19","-0.77","0.01","0.32","2.76"
"138","Victor Oladipo","IND","PG,SG","1.14","0.57","1.43","-0.19","1.77","-1.14","-0.49","1.13","-1.47","2.76"
"139","Garrett Temple","MEM","SG,SF","0.47","0.18","-0.02","0.50","1.30","-0.64","-0.11","1.13","-0.09","2.73"
"140","Cory Joseph","IND","PG,SG","0.13","0.32","1.46","-0.19","1.35","-0.25","-0.14","0.22","-0.21","2.69"
"141","Maxi Kleber","DAL","PF","-0.14","0.32","-0.47","2.18","-0.01","-0.17","0.16","0.30","0.46","2.64"
"142","Trae Young","ATL","PG","1.55","0.21","3.56","-0.13","0.88","-1.99","0.89","1.16","-3.52","2.61"
"143","T.J. McConnell","PHI","PG","-0.05","-0.22","1.35","-0.08","1.44","1.09","0.01","-0.61","-0.33","2.60"
"144","Terry Rozier","BOS","PG,SG","0.38","0.60","0.94","-0.08","1.02","-1.77","0.19","1.08","0.17","2.53"
"145","Cody Zeller","CHA","PF,C","0.03","0.68","0.07","0.76","0.13","1.21","0.60","-0.72","-0.27","2.51"
"146","Dorian Finney-Smith","DAL","SF,PF","0.19","0.71","-0.41","0.60","1.35","0.03","-0.72","0.54","0.18","2.47"
"147","Juan Hernangomez","DEN","SF,PF","0.19","0.82","-0.31","0.34","-0.11","0.12","0.24","0.78","0.38","2.46"
"148","Jae Crowder","UTH","SF,PF","0.92","0.82","0.16","0.34","0.69","-1.65","-0.75","2.01","-0.08","2.46"
"149","Hassan Whiteside","MIA","C","0.68","3.04","-0.39","4.40","0.08","1.81","-5.70","-0.80","-0.72","2.41"
"150","Kent Bazemore","ATL","SG,SF","0.55","0.08","0.28","0.92","1.77","-0.40","-0.13","0.59","-1.28","2.39"
"151","Zach Collins","POR","PF,C","0.14","0.68","-0.23","1.39","-0.15","0.33","0.24","-0.07","-0.01","2.32"
"152","Mason Plumlee","DEN","PF,C","0.18","1.24","0.70","1.45","1.11","2.02","-3.09","-0.82","-0.59","2.20"
"153","Bogdan Bogdanovic","SAC","SG,SF","0.84","0.06","1.07","-0.40","0.74","-0.70","0.45","1.13","-0.99","2.19"
"154","Alec Burks","CLE","PG,SG","0.61","0.57","0.51","0.29","0.32","-1.35","0.70","0.70","-0.16","2.19"
"155","E'Twaun Moore","NOR","SG,SF","0.71","-0.15","0.25","-0.40","0.55","0.55","-0.02","0.76","-0.10","2.16"
"156","Cedi Osman","CLE","SF,PF","1.01","0.82","0.52","-0.29","0.69","-1.10","-0.09","1.24","-0.79","2.01"
"157","Dario Saric","MIN","PF,C,SF","0.50","1.17","0.07","-0.45","0.13","-0.99","0.90","0.84","-0.18","1.98"
"158","DeAndre' Bembry","ATL","SF,PF","0.34","0.59","0.81","0.82","2.05","-0.66","-1.30","0.09","-0.88","1.85"
"159","Landry Shamet","PHI","G","0.35","-0.40","-0.16","-0.40","0.08","-0.31","0.39","1.64","0.63","1.82"
"160","Dwight Powell","DAL","PF,C","0.21","0.44","-0.32","0.60","-0.06","1.54","-0.34","-0.53","0.27","1.81"
"161","JaMychal Green","MEM","PF,C","0.24","0.88","-0.41","0.60","0.50","0.44","0.14","0.11","-0.71","1.81"
"162","Mitchell Robinson","NYK","C","-0.44","0.02","-0.61","2.71","0.13","1.34","-1.21","-0.85","0.66","1.74"
"163","Jeremy Lin","ATL","PG,SG","0.53","-0.19","1.13","-0.45","0.50","0.19","0.98","0.19","-1.14","1.74"
"164","Wesley Matthews","DAL","SG,SF","0.77","-0.22","0.36","-0.13","0.50","-1.20","0.30","1.69","-0.38","1.69"
"165","Ed Davis","BKN","PF,C","-0.04","2.45","-0.34","0.24","0.22","1.75","-1.95","-0.85","0.17","1.65"
"166","Delon Wright","TOR","PG,SG","-0.02","-0.10","0.40","0.03","0.88","-0.28","0.49","-0.05","0.29","1.65"
"167","Jonas Jerebko","GSW","SF,PF","0.06","0.78","0.04","-0.29","-0.29","0.17","0.35","0.49","0.33","1.64"
"168","Chris Paul","HOU","PG","0.35","-0.11","1.89","-0.34","1.72","-0.78","0.46","0.65","-2.24","1.61"
"169","Gorgui Dieng","MIN","PF,C","-0.15","0.57","-0.36","0.60","0.08","0.27","0.63","-0.50","0.46","1.60"
"170","Lauri Markkanen","CHI","PF,SG","0.53","0.71","-0.55","0.45","0.08","-0.64","0.49","1.10","-0.60","1.56"
"171","Jonas Valanciunas","TOR","C","0.22","0.68","-0.50","0.45","-0.48","1.59","0.52","-0.61","-0.36","1.51"
"172","Justise Winslow","MIA","SF,PF,SG","0.70","0.76","1.32","-0.03","0.97","-0.62","-1.09","0.78","-1.31","1.50"
"173","Tristan Thompson","CLE","PF,C","0.27","2.02","0.07","0.08","0.22","1.15","-1.02","-0.85","-0.47","1.48"
"174","Darius Miller","NOR","SG,SF","0.10","-0.40","0.07","0.24","0.36","-0.85","0.25","1.40","0.29","1.45"
"175","Iman Shumpert","SAC","SG,SF","0.10","-0.09","0.13","0.18","1.07","-1.43","0.25","1.00","0.15","1.36"
"176","Mohamed Bamba","ORL","C","-0.09","0.75","-0.37","2.50","-0.43","0.30","-1.16","-0.29","0.14","1.35"
"177","Reggie Bullock","DET","SG,SF","0.53","-0.17","0.38","-0.50","-0.11","-1.11","0.68","1.83","-0.20","1.32"
"178","Andrew Wiggins","MIN","SG,SF","1.65","0.63","0.43","0.50","1.30","-2.37","-1.02","1.18","-0.99","1.30"
"179","Kevin Huerter","ATL","SG","0.28","0.10","0.60","0.18","0.79","-1.07","-0.08","1.16","-0.67","1.28"
"180","Kelly Olynyk","MIA","PF,C","0.26","0.44","0.04","-0.03","0.18","-0.22","0.15","0.76","-0.33","1.25"
"181","Mike Muscala","PHI","PF,C","0.05","0.47","-0.13","0.60","-0.25","-0.87","0.36","0.92","0.09","1.24"
"182","John Wall","WAS","PG","1.10","-0.10","2.58","0.76","1.26","-0.47","-1.20","0.51","-3.24","1.20"
"183","Alex Len","ATL","PF,C","0.52","1.05","-0.28","1.61","-0.25","0.54","-1.19","-0.23","-0.57","1.19"
"184","Michael Kidd-Gilchrist","CHA","SF","0.05","0.51","-0.36","0.97","0.04","0.30","-0.02","-0.58","0.29","1.18"
"185","Meyers Leonard","POR","PF,C","-0.12","0.46","-0.16","-0.29","-0.43","0.75","0.45","0.19","0.33","1.18"
"186","Jaylen Brown","BOS","SG,SF","0.78","0.48","-0.10","0.55","0.74","-0.30","-1.10","0.59","-0.46","1.17"
"187","Miles Bridges","CHA","SF","-0.00","0.34","-0.24","0.76","0.04","-0.12","-0.13","0.03","0.48","1.17"
"188","Tyler Johnson","MIA","PG,SG","0.42","-0.13","0.41","0.24","0.79","-0.52","-0.71","1.00","-0.47","1.02"
"189","Kyle Korver","UTH","SG,SF","0.27","-0.27","-0.32","-0.29","-0.43","-0.24","0.49","1.58","0.22","1.00"
"190","Tyus Jones","MIN","PG","-0.26","-0.44","1.24","-0.61","1.54","-1.01","0.30","-0.26","0.47","0.97"
"191","Justin Jackson","SAC","SF","0.07","0.09","-0.07","-0.13","-0.01","-0.50","0.19","0.62","0.71","0.96"
"192","Evan Turner","POR","SG,SF","0.22","0.81","1.54","-0.03","0.18","0.21","-0.52","-0.66","-0.84","0.92"
"193","Royce O'Neale","UTH","SF","-0.24","0.31","-0.02","0.03","0.55","0.05","-0.07","0.09","0.22","0.90"
"194","Tony Snell","MIL","SG,SF","-0.03","-0.20","-0.39","-0.24","-0.15","-0.10","0.48","0.70","0.78","0.85"
"195","Emmanuel Mudiay","NYK","PG","0.82","-0.06","1.02","-0.08","0.41","-0.17","-0.06","0.25","-1.30","0.84"
"196","Gary Harris","DEN","SG,SF","0.47","-0.27","0.17","-0.08","0.32","-0.54","0.53","0.43","-0.19","0.84"
"197","Gerald Green","HOU","SG,SF","0.31","-0.03","-0.52","0.13","-0.29","-1.10","0.18","1.75","0.37","0.79"
"198","Jeff Teague","MIN","PG","0.13","-0.41","2.22","-0.08","0.65","-0.84","0.63","-0.10","-1.52","0.67"
"199","Jabari Parker","CHI","SF,PF","0.76","0.85","0.19","-0.03","0.04","0.38","-0.36","0.14","-1.36","0.61"
"200","Damyean Dotson","NYK","SG","0.17","0.09","-0.19","-0.50","0.74","-0.41","-0.35","0.65","0.39","0.59"
"201","Malik Monk","CHA","SG,SF","0.47","-0.39","0.20","-0.24","0.18","-1.42","0.96","1.16","-0.35","0.57"
"202","Markieff Morris","WAS","PF,C","0.24","0.34","-0.12","0.29","0.08","-0.42","0.12","0.43","-0.42","0.56"
"203","Jakob Poeltl","SAS","C,PF","-0.21","0.78","-0.14","0.92","-0.57","1.58","-1.45","-0.85","0.40","0.46"
"204","Eric Gordon","HOU","SG","1.02","-0.19","0.12","0.03","-0.01","-2.24","0.32","1.99","-0.57","0.46"
"205","Rodney McGruder","MIA","SG,SF","0.29","0.33","0.34","-0.29","0.18","-1.06","-0.05","0.89","-0.20","0.42"
"206","Shabazz Napier","BKN","PG","0.22","-0.43","0.20","-0.19","0.50","-0.97","0.61","0.62","-0.20","0.38"
"207","Collin Sexton","CLE","PG","1.37","0.22","0.94","-0.61","0.18","-1.96","1.23","0.43","-1.46","0.35"
"208","Shelvin Mack","MEM","PG","0.24","-0.23","1.21","-0.61","0.79","-0.69","-0.47","0.27","-0.18","0.35"
"209","Josh Jackson","PHO","SG,SF","0.70","0.75","0.62","1.08","1.26","-1.58","-1.24","0.22","-1.52","0.29"
"210","Ivica Zubac","LAL","C","-0.19","0.14","-0.58","0.55","-0.81","1.24","0.70","-0.85","0.07","0.28"
"211","Vince Carter","ATL","SG,SF","-0.04","-0.03","-0.29","0.03","0.18","-0.71","-0.14","0.92","0.37","0.28"
"212","James Ennis III","HOU","SG,SF","-0.19","-0.20","-0.56","0.03","0.46","0.39","-0.38","0.22","0.49","0.25"
"213","Marvin Bagley III","SAC","PF","0.46","0.80","-0.47","1.13","-0.20","1.10","-1.27","-0.56","-0.75","0.24"
"214","Dante Cunningham","SAS","SF,PF","-0.49","0.29","-0.30","-0.08","-0.06","0.09","0.03","-0.13","0.76","0.12"
"215","Wilson Chandler","PHI","SG,SF,PF","-0.26","0.28","-0.00","0.18","-0.06","-0.24","-0.08","0.33","-0.03","0.12"
"216","Jake Layman","POR","PF,SF","-0.11","-0.15","-0.57","-0.13","-0.20","0.71","-0.09","0.06","0.56","0.08"
